"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2017-10054-15/08/2019","01",1,"SA","Utility","1989","North","Male","055","SA","C R ","Full","Not Towing","Stopped on Carriageway","001","XXXX",,
"2017-10054-15/08/2019","02",0,"SA","RIGID TRUCK LGE GE 4.5T","2000","North","Male","048","UNKNOWN","MR","Full","Not Towing","Straight Ahead","001","5018",,
"2017-10055-15/08/2019","01",0,"SA","Motor Cars - Sedan","2005","East","Male","055","SA","C R ","Full","Not Towing","Right Turn","001","5174",,
"2017-10055-15/08/2019","02",0,"SA","Motor Cars - Sedan","2004","North","Male","032","SA","HR","Full","Not Towing","Straight Ahead","002","5039",,
"2017-10056-15/08/2019","01",0,"SA","Motor Cars - Sedan","2007","South","Female","026","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5032",,
"2017-10056-15/08/2019","02",0,"SA","Station Wagon","2014","South","Male","032","SA","C ","Full","Unknown","Straight Ahead","001","5031",,
"2017-10057-15/08/2019","01",0,"SA","Utility","2015","North West","Male","032","SA","C ","Full","Not Towing","Straight Ahead","001","5353",,
"2017-10057-15/08/2019","02",0,"SA","RIGID TRUCK LGE GE 4.5T","2005","North West","Male","058","SA","HCR ","Full","Not Towing","Straight Ahead","001","XXXX",,
"2017-10058-15/08/2019","01",1,"SA","Motor Cars - Sedan","2015","South West","Female","023","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5013",,
"2017-10058-15/08/2019","02",0,"SA","Station Wagon","2011","South West","Male","019","UNKNOWN","XX","Unknown","Not Towing","Straight Ahead","001","5580",,
"2017-10059-15/08/2019","01",0,"SA","Motor Cars - Sedan","2003","North","Female","029","SA","C ","Full","Not Towing","Left Turn","001","5052",,
"2017-10059-15/08/2019","02",0,"SA","Motor Cycle","2012","North","Male","059","SA","C R ","Full","Not Towing","Left Turn","001","5159",,
"2017-10060-15/08/2019","01",0,"SA","Motor Cars - Sedan","2007","South West","Female","019","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5091",,
"2017-10060-15/08/2019","02",0,"SA","Motor Cars - Sedan","2015","South West","Female","034","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5162",,
"2017-10060-15/08/2019","03",0,"SA","Motor Cars - Sedan","2003","South West","Female","046","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5074",,
"2017-10061-15/08/2019","01",1,"SA","Utility","2002","South West","Male","037","SA","C RD","Full","Not Towing","Stopped on Carriageway","001","5033",,
